OID,EFF_DATE,SITE_NO,SITE_TYPE_CODE,STATE_CODE,ARPT_ID,ARPT_NAME,CITY,COUNTRY_CODE,OWNERSHIP_TYPE_CODE,FACILITY_USE_CODE,RWY_ID,LAT1_DECIMAL,LONG1_DECIMAL,LAT2_DECIMAL,LONG2_DECIMAL,RWY_LEN,RWY_WIDTH,SURFACE_TYPE_CODE,COND,TREATMENT_CODE,PCN,PAVEMENT_TYPE_CODE,SUBGRADE_STRENGTH_CODE,TIRE_PRES_CODE,DTRM_METHOD_CODE,RWY_LGT_CODE,RWY_LEN_SOURCE,LENGTH_SOURCE_DATE,GROSS_WT_SW,GROSS_WT_DW,GROSS_WT_DTW,GROSS_WT_DDTW,Shape__Area,Shape__Length
7961,2025/07/10,27628.7,A,WI,40D,THREE LAKES MUNI,THREE LAKES,US,PU,PU,03/21,45.785825,-89.1242,45.79421111,-89.11837777,3400,120,TURF,GOOD,NONE,,,,,,NSTD,,,,,,,77937.2890625,3079.67358206722
7962,2025/07/10,27631.,A,WI,Y72,BLOYER FLD,TOMAH,US,PU,PU,07/25,43.97424138,-90.48749913,43.97821244,-90.47374333,3900,75,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2012/08/12,,,,,52484.5,3363.43380583629
7963,2025/07/10,27637.1,A,WI,TKV,TOMAHAWK RGNL,TOMAHAWK,US,PU,PU,09/27,45.46934808,-89.81346638,45.46939952,-89.7963128,4401,75,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2010/10/21,26,,,,62345.5859375,3884.38951041204
7964,2025/07/10,27642.,A,WI,WI46,FUN-AIR,VAN DYNE,US,PR,PR,09/27,43.88283333,-88.54258333,43.88269444,-88.53725,1407,60,TURF,,NONE,,,,,,,ADO,2013/01/29,,,,,15102.44140625,1239.02419368102
7965,2025/07/10,27643.51,A,WI,88WS,OTTOS AIRFIELD,VERONA,US,PR,PR,09/27,42.93103055,-89.62683888,42.93094305,-89.62295069,1042,65,TURF,,NONE,,,,,,,OWNER,2023/11/14,,,,,11741.578125,920.300629253268
7966,2025/07/10,27643.8,A,WI,Y51,VIROQUA MUNI,VIROQUA,US,PU,PU,02/20,43.57513772,-90.89311425,43.58132388,-90.88975911,2424,90,TURF,GOOD,NONE,,,,,,,3RD PARTY SURVEY,2023/04/07,,,,,38631.33203125,2118.31358136935
7967,2025/07/10,27643.8,A,WI,Y51,VIROQUA MUNI,VIROQUA,US,PU,PU,11/29,43.58276013,-90.908378,43.57821911,-90.89463591,4000,60,ASPH,EXCELLENT,NONE,,,,,,MED,3RD PARTY SURVEY,2023/04/07,12,,,,42504.37890625,3413.36873506416
7968,2025/07/10,27645.1,A,WI,7V3,BIG FOOT AIRFIELD,WALWORTH,US,PR,PU,18/36,42.53006416,-88.6514285,42.5242655,-88.65135569,2114,100,TURF,GOOD,NONE,,,,,,NSTD,OWNER,2023/12/29,,,,,36172.9375,1834.47589036722
7969,2025/07/10,27647.555,A,WI,WS84,CRAN BOG N,WARRENS,US,PR,PR,09/27,44.27333852,-90.48571,44.273635,-90.477321,2200,55,TURF,,NONE,,,,,,,OWNER,2024/01/08,,,,,21930.64453125,1916.90280305436
7970,2025/07/10,27652.,A,WI,2P2,WASHINGTON ISLAND,WASHINGTON ISLAND,US,PU,PU,02/20,45.384525,-86.92535833,45.39012777,-86.92168611,2250,150,TURF,GOOD,NONE,,,,,,LOW,,,,,,,63572.47265625,2085.32244316302
7971,2025/07/10,27652.,A,WI,2P2,WASHINGTON ISLAND,WASHINGTON ISLAND,US,PU,PU,14/32,45.39164722,-86.92715277,45.38673333,-86.92197222,2232,150,TURF,GOOD,NONE,,,,,,LOW,,,,,,,63060.83984375,2068.44866072075
7972,2025/07/10,27659.,A,WI,RYV,WATERTOWN MUNI,WATERTOWN,US,PU,PU,05/23,43.16521869,-88.73076805,43.17249855,-88.71747794,4429,75,ASPH,FAIR,NONE,,,,,,MED,NGS,2007/08/20,30,60,,,58034.7421875,3763.20372499656
7973,2025/07/10,27659.,A,WI,RYV,WATERTOWN MUNI,WATERTOWN,US,PU,PU,11/29,43.17228911,-88.72664322,43.16942191,-88.71690444,2801,75,ASPH,FAIR,NONE,,,,,,MED,NGS,2007/08/20,30,,,,36700.71484375,2401.01630124283
7974,2025/07/10,27661.,A,WI,UES,WAUKESHA COUNTY,WAUKESHA,US,PU,PU,10/28,43.04394575,-88.24971536,43.04062,-88.22831363,5849,100,CONC,EXCELLENT,GRVD,,,,,,HIGH,3RD PARTY SURVEY,2010/11/13,60,100,,,101771.07421875,4954.9428559202
7975,2025/07/10,27661.,A,WI,UES,WAUKESHA COUNTY,WAUKESHA,US,PU,PU,18/36,43.04389211,-88.23322319,43.03405863,-88.23445147,3599,75,ASPH,FAIR,NONE,,,,,,MED,3RD PARTY SURVEY,2010/11/13,20,,,,46966.625,3070.32776372595
7976,2025/07/10,27663.,A,WI,6P3,WAUNAKEE,WAUNAKEE,US,PR,PU,09/27,43.17872513,-89.45544988,43.17873358,-89.44711833,2223,30,ASPH,FAIR,NONE,,,,,,NSTD,NGS,2001/10/03,,,,,11653.328125,1880.05891795264
7977,2025/07/10,27664.,A,WI,PCZ,WAUPACA MUNI,WAUPACA,US,PU,PU,10/28,44.33336541,-89.03289308,44.33250833,-89.01305711,5200,100,ASPH,FAIR,NONE,,,,,,MED,3RD PARTY SURVEY,2009/10/29,,,,,94433.66015625,4509.68739800262
7978,2025/07/10,27664.,A,WI,PCZ,WAUPACA MUNI,WAUPACA,US,PU,PU,13/31,44.33666286,-89.02168905,44.33071175,-89.00930975,3899,75,ASPH,POOR,NONE,,,,,,MED,3RD PARTY SURVEY,2009/10/29,13,,,,53103.75390625,3384.71211420596
7979,2025/07/10,27667.,A,WI,AUW,WAUSAU DOWNTOWN,WAUSAU,US,PU,PU,05/23,44.92279527,-89.62448486,44.92875325,-89.61627008,3041,100,ASPH,FAIR,NONE,,,,,,MED,3RD PARTY SURVEY,2009/09/15,32,55,95,,56354.89453125,2704.29962559427
7980,2025/07/10,27667.,A,WI,AUW,WAUSAU DOWNTOWN,WAUSAU,US,PU,PU,12W/30W,44.93034166,-89.64459722,44.91678888,-89.62032222,8000,300,WATER,GOOD,NONE,,,,,,,FAA OE/AAA,2013/01/23,,,,,444603.84375,7140.97843608339
7981,2025/07/10,27667.,A,WI,AUW,WAUSAU DOWNTOWN,WAUSAU,US,PU,PU,13/31,44.93059994,-89.63920833,44.92261111,-89.62257777,5200,100,ASPH,FAIR,NONE,,,,,,MED,FAA OE/AAA,2013/01/23,45,80,140,,96373.28515625,4560.54678808829
7982,2025/07/10,27672.,A,WI,Y50,WAUTOMA MUNI,WAUTOMA,US,PU,PU,08/26,44.04489711,-89.31180247,44.04563661,-89.30298597,2334,120,TURF,GOOD,NONE,,,,,,,3RD PARTY SURVEY,2010/07/24,,,,,50371.52734375,2078.17128902095
7983,2025/07/10,27672.,A,WI,Y50,WAUTOMA MUNI,WAUTOMA,US,PU,PU,13/31,44.04464141,-89.30916541,44.03861327,-89.29980563,3300,60,ASPH,FAIR,NONE,,,,,,MED,3RD PARTY SURVEY,2010/07/24,12.5,,,,35602.22265625,2848.80950417126
7984,2025/07/10,27682.,A,WI,ETB,WEST BEND MUNI,WEST BEND,US,PU,PU,06/24,43.41995683,-88.13425019,43.42547472,-88.12168527,3898,75,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2022/06/12,12,,,,51498.13671875,3332.05751015173
